SMILES,o_mus_ipr_LD,o_rat_orl_TDLo,o_mus_ipr_LDLo,o_mus_orl_TDLo,o_rat_ipr_TDLo,o_mus_ivn_LD,o_rat_ipr_LD,o_mus_orl_LD,o_mus_unr_LD,o_rat_unr_LD,o_mus_scu_LDLo,o_rat_scu_LD,o_mus_scu_LD,o_rat_ipr_LDLo,o_mus_ipr_TDLo,o_rbt_skn_LD,o_rat_orl_LD,o_rat_ivn_TDLo,o_rat_orl_LDLo,o_rbt_orl_LD,o_rbt_ivn_LD,o_rat_ivn_LD,o_mus_orl_LDLo,o_rat_skn_LD,o_mam_unr_LD,o_gpg_orl_LD,o_wmn_orl_TDLo,o_man_orl_TDLo,o_rat_scu_TDLo
CCN(CC)CCOC(=O)C(OC)(c1ccccc1)c1ccccc1,,,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)C(C(=O)OCCN(CC)CC)c1ccccc1,,,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)C(C)(O)CC,,,,,,3.81,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)C(O)C1=CCCC1,,,,,,3.77,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)C(O)C1CC=CCC1,,,,,,4.03,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)C(O)C1CCCC1,,,,,,4.79,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)C(O)C1CCCCC1,,,,,,4.14,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)C1(O)CCC(C)CC1,3.24,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)C1(O)CCCC(C)C1,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)C1(O)CCCC1,3.09,,,,,3.71,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)C1(O)CCCCC1,3.15,,,,,3.79,,,,,,,3.02,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)C1(O)CCCCCCC1,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1,,,,,,3.88,,1.98,2.31,,,,2.635,,,,,,2.3,,,3.93,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)N1CCCCC1,,,,,,3.745,,2.5,,,,,,,,,,,,,,,,,,,,,
